"Id","Abbrev","Release Date","Full Name","Subset Abbrev","Subset Full Name","Company"
"300001","Jyhad","19940816","Jyhad","","","Wizards of the Coast"
"300002","VTES","19950915","Vampire: The Eternal Struggle","","","Wizards of the Coast"
"300003","DS","19951215","Dark Sovereigns","","","Wizards of the Coast"
"300004","AH","19960529","Ancient Hearts","","","Wizards of the Coast"
"300005","Sabbat","19961028","Sabbat","","","Wizards of the Coast"
"300006","SW","20001031","Sabbat War","","","White Wolf"
"300006","SW","20001031","Sabbat War","PL","Lasombra","White Wolf"
"300006","SW","20001031","Sabbat War","PB","Brujah antitribu","White Wolf"
"300006","SW","20001031","Sabbat War","PT","Tzimisce","White Wolf"
"300006","SW","20001031","Sabbat War","PV","Ventrue antitribu","White Wolf"
"300007","FN","20010611","Final Nights","","","White Wolf"
"300007","FN","20010611","Final Nights","PS","Followers of Set","White Wolf"
"300007","FN","20010611","Final Nights","PA","Assamite","White Wolf"
"300007","FN","20010611","Final Nights","PR","Ravnos","White Wolf"
"300007","FN","20010611","Final Nights","PG","Giovanni","White Wolf"
"300008","BL","20011203","Bloodlines","","","White Wolf"
"300009","CE","20020819","Camarilla Edition","","","White Wolf"
"300009","CE","20020819","Camarilla Edition","PTo","Toreador","White Wolf"
"300009","CE","20020819","Camarilla Edition","PTr","Tremere","White Wolf"
"300009","CE","20020819","Camarilla Edition","PV","Ventrue","White Wolf"
"300009","CE","20020819","Camarilla Edition","PB","Brujah","White Wolf"
"300009","CE","20020819","Camarilla Edition","PM","Malkavian","White Wolf"
"300009","CE","20020819","Camarilla Edition","PN","Nosferatu","White Wolf"
"300010","Anarchs","20030519","Anarchs","","","White Wolf"
"300010","Anarchs","20030519","Anarchs","PAB","Anarch Barons","White Wolf"
"300010","Anarchs","20030519","Anarchs","PAG","Anarch Gang","White Wolf"
"300010","Anarchs","20030519","Anarchs","PG","Gangrel","White Wolf"
"300011","BH","20031117","Black Hand","","","White Wolf"
"300011","BH","20031117","Black Hand","PN","Nosferatu antitribu","White Wolf"
"300011","BH","20031117","Black Hand","PTo","Toreador antitribu","White Wolf"
"300011","BH","20031117","Black Hand","PTr","Tremere antitribu","White Wolf"
"300011","BH","20031117","Black Hand","PM","Malkavian antitribu","White Wolf"
"300012","Gehenna","20040517","Gehenna","","","White Wolf"
"300013","Tenth","20041213","Tenth Anniversary","A","Set 1","White Wolf"
"300013","Tenth","20041213","Tenth Anniversary","B","Set 2","White Wolf"
"300014","KMW","20050221","Kindred Most Wanted","","","White Wolf"
"300014","KMW","20050221","Kindred Most Wanted","PG","Gangrel antitribu","White Wolf"
"300014","KMW","20050221","Kindred Most Wanted","PB","Baali","White Wolf"
"300014","KMW","20050221","Kindred Most Wanted","PAn","Anathema","White Wolf"
"300014","KMW","20050221","Kindred Most Wanted","PAl","Alastors","White Wolf"
"300015","LoB","20051114","Legacies of Blood","","","White Wolf"
"300015","LoB","20051114","Legacies of Blood","PO","Osebo","White Wolf"
"300015","LoB","20051114","Legacies of Blood","PG","Guruhi","White Wolf"
"300015","LoB","20051114","Legacies of Blood","PI","Ishtarri","White Wolf"
"300015","LoB","20051114","Legacies of Blood","PA","Akunanse","White Wolf"
"300016","NoR","20060410","Nights of Reckoning","","","White Wolf"
"300017","Third","20060904","Third Edition","","","White Wolf"
"300017","Third","20060904","Third Edition","PTr","Tremere antitribu","White Wolf"
"300017","Third","20060904","Third Edition","PB","Brujah antitribu","White Wolf"
"300017","Third","20060904","Third Edition","PM","Malkavian antitribu","White Wolf"
"300017","Third","20060904","Third Edition","PTz","Tzimisce","White Wolf"
"300017","Third","20060904","Third Edition","SKB","Starter Kit Brujah antitribu","White Wolf"
"300017","Third","20060904","Third Edition","SKM","Starter Kit Malkavian antitribu","White Wolf"
"300017","Third","20060904","Third Edition","SKTr","Starter Kit Tremere antitribu","White Wolf"
"300017","Third","20060904","Third Edition","SKTz","Starter Kit Tzimisce","White Wolf"
"300018","SoC","20070319","Sword of Caine","","","White Wolf"
"300019","LotN","20070926","Lords of the Night","","","White Wolf"
"300019","LotN","20070926","Lords of the Night","PS","Followers of Set","White Wolf"
"300019","LotN","20070926","Lords of the Night","PA","Assamite","White Wolf"
"300019","LotN","20070926","Lords of the Night","PR","Ravnos","White Wolf"
"300019","LotN","20070926","Lords of the Night","PG","Giovanni","White Wolf"
"300020","BSC","20080414","Blood Shadowed Court","","","White Wolf"
"300021","TR","20080528","Twilight Rebellion","","","White Wolf"
"300022","KoT","20081119","Keepers of Tradition","","","White Wolf"
"300022","KoT","20081119","Keepers of Tradition","PV","Ventrue","White Wolf"
"300022","KoT","20081119","Keepers of Tradition","PB","Brujah","White Wolf"
"300022","KoT","20081119","Keepers of Tradition","PM","Malkavian","White Wolf"
"300022","KoT","20081119","Keepers of Tradition","PT","Toreador","White Wolf"
"300022","KoT","20180505","Keepers of Tradition","A","Reprint Bundle 1","White Wolf Entertainment AB"
"300022","KoT","20180505","Keepers of Tradition","B","Reprint Bundle 2","White Wolf Entertainment AB"
"300023","EK","20090527","Ebony Kingdom","","","White Wolf"
"300024","HttB","20100203","Heirs to the Blood","","","White Wolf"
"300024","HttB","20100203","Heirs to the Blood","PSal","Salubri antitribu","White Wolf"
"300024","HttB","20100203","Heirs to the Blood","PGar","Gargoyles","White Wolf"
"300024","HttB","20100203","Heirs to the Blood","PKia","Kiasyd","White Wolf"
"300024","HttB","20100203","Heirs to the Blood","PSam","Samedi","White Wolf"
"300024","HttB","20181407","Heirs to the Blood","A","Reprint Bundle 1","White Wolf"
"300024","HttB","20181407","Heirs to the Blood","B","Reprint Bundle 2","White Wolf"
"300025","DM","20131005","Danse Macabre","","","White Wolf Entertainment AB" 
"300026","TU","20141004","The Unaligned","A","Bundle 1","White Wolf Entertainment AB" 
"300026","TU","20141004","The Unaligned","B","Bundle 2","White Wolf Entertainment AB" 
"300027","AU","20160117","Anarch Unbound","","","White Wolf Entertainment AB" 
"300028","Anthology","20170511","Anthology","","","White Wolf Publishing AB"
"300028","Anthology","20170511","Anthology","LARP","EC Berlin Edition","White Wolf Publishing AB"
"300029","LK","20180609","Lost Kindred","","","White Wolf Entertainment AB"
"300030","SP","20190216","Sabbat Preconstructed","PwN","Pact with Nephandi","White Wolf Entertainment AB"
"300030","SP","20190216","Sabbat Preconstructed","PoS","Parliament of Shadows","White Wolf Entertainment AB"
"300030","SP","20190216","Sabbat Preconstructed","DoF","Den of Fiends","White Wolf Entertainment AB"
"300030","SP","20190216","Sabbat Preconstructed","LB","Libertine Ball","White Wolf Entertainment AB"
"300031","25th","20190816","Twenty-Fifth Anniversary","","","White Wolf Entertainment AB"
"300032","FB","20191001","First Blood","PV","Ventrue","White Wolf Entertainment AB"
"300032","FB","20191001","First Blood","PM","Malkavian","White Wolf Entertainment AB"
"300032","FB","20191001","First Blood","PTo","Toreador","White Wolf Entertainment AB"
"300032","FB","20191001","First Blood","PN","Nosferatu","White Wolf Entertainment AB"
"300032","FB","20191001","First Blood","PTr","Tremere","White Wolf Entertainment AB"
"300033","V5","20201130","Fifth Edition","PV","Ventrue","Paradox Interactive AB"
"300033","V5","20201130","Fifth Edition","PM","Malkavian","Paradox Interactive AB"
"300033","V5","20201130","Fifth Edition","PTo","Toreador","Paradox Interactive AB"
"300033","V5","20201130","Fifth Edition","PN","Nosferatu","Paradox Interactive AB"
"300033","V5","20201130","Fifth Edition","PTr","Tremere","Paradox Interactive AB"
"300034","V5A","20211201","Fifth Edition (Anarch)","PB","Brujah","Paradox Interactive AB"
"300034","V5A","20211201","Fifth Edition (Anarch)","PMin","Ministry","Paradox Interactive AB"
"300034","V5A","20211201","Fifth Edition (Anarch)","PBh","Banu Haqim","Paradox Interactive AB"
"300034","V5A","20211201","Fifth Edition (Anarch)","PG","Gangrel","Paradox Interactive AB"
"300035","NB","20220417","New Blood","PV","Ventrue","Paradox Interactive AB"
"300035","NB","20220417","New Blood","PM","Malkavian","Paradox Interactive AB"
"300035","NB","20220417","New Blood","PTo","Toreador","Paradox Interactive AB"
"300035","NB","20220417","New Blood","PN","Nosferatu","Paradox Interactive AB"
"300035","NB","20220417","New Blood","PTr","Tremere","Paradox Interactive AB"
